Shields stress,slope,median grain size (m),flow depth (m),density (kg/m3),observation method,used in this study,citation
0.024,0.01,0.037,0.1457,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.034,0.015,0.037,0.1394,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.025,0.009,0.037,0.1676,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.008,0.0025,0.037,0.1869,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.030,0.012,0.037,0.1542,2647,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.047,0.03,0.0386,0.0957,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.050,0.035,0.0386,0.0884,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.04,0.0386,0.0796,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.057,0.045,0.0386,0.0785,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.061,0.05,0.0386,0.0752,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.060,0.055,0.0386,0.0676,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.065,0.06,0.0386,0.0668,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.062,0.065,0.0386,0.0584,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.059,0.015,0.0175,0.1095,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.076,0.02,0.0175,0.1062,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.097,0.025,0.0175,0.1084,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.095,0.03,0.0175,0.0886,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.089,0.035,0.0175,0.0713,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.101,0.04,0.0175,0.0707,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.108,0.045,0.0175,0.0672,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.090,0.05,0.0175,0.0505,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.103,0.055,0.0175,0.0524,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.092,0.06,0.0175,0.0427,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.056,0.03,0.041,0.123,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.058,0.035,0.041,0.109,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.062,0.04,0.041,0.101,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.059,0.045,0.041,0.086,2597,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.066,0.05,0.041,0.0862,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.065,0.055,0.041,0.077,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.056,0.06,0.041,0.061,2597,None,no,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.061,0.02,0.02,0.099,2617,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.065,0.03,0.02,0.07,2617,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.077,0.04,0.02,0.062,2617,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.020,0.01,0.011,0.037,2677,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.082,0.02,0.011,0.076,2677,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.052,0.02,0.0205,0.09,2687,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.055,0.03,0.0205,0.063,2687,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.042,0.03,0.023,0.052,2627,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.044,0.03,0.0235,0.058,2677,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.044,0.03,0.023,0.051,2517,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.035,0.01,0.023,0.115,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.051,0.02,0.023,0.084,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.047,0.03,0.023,0.051,2428,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.038,0.03,0.023,0.045,2537,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.022,0.03,0.0235,0.027,2537,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.025,0.04,0.0235,0.023,2537,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.018,0.01,0.0235,0.065,2537,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.030,0.02,0.0235,0.054,2537,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.022,0.01,0.0235,0.072,2398,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.035,0.02,0.0235,0.058,2398,None,yes,"Aguirre-Pe, J. (1975). Incipient erosion in high gradient open channel flow with artificial roughness elements. Proc. 16th Congr. Int. Assoc. Hydraul. Res. San Paulo Brazil(2), 137–180. "
0.029,0.0019,0.0015,0.0375,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000054"
0.041,0.0083,0.0015,0.0124,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000055"
0.038,0.0141,0.0015,0.0066,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000056"
0.049,0.0083,0.0024,0.0235,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000057"
0.053,0.0141,0.0024,0.0148,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000058"
0.043,0.0019,0.0034,0.1272,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000059"
0.059,0.0083,0.0034,0.0398,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000060"
0.065,0.0141,0.0034,0.0260,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000061"
0.061,0.0238,0.0034,0.0144,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000062"
0.058,0.0083,0.0045,0.0515,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000063"
0.059,0.0141,0.0045,0.0308,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000064"
0.058,0.0115,0.0045,0.0374,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000065"
0.068,0.0287,0.0045,0.0177,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000066"
0.058,0.0083,0.00565,0.0651,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000067"
0.065,0.0141,0.00565,0.0429,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000068"
0.060,0.0115,0.00565,0.0486,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000069"
0.066,0.0157,0.00565,0.0393,2650,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000070"
0.060,0.0083,0.00715,0.0831,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000071"
0.062,0.0141,0.00715,0.0502,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000072"
0.066,0.0238,0.00715,0.0318,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000073"
0.062,0.0115,0.00715,0.0619,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000074"
0.065,0.0141,0.009,0.0660,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000075"
0.061,0.0115,0.009,0.0769,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000076"
0.067,0.0157,0.009,0.0614,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000077"
0.062,0.0141,0.012,0.0844,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000078"
0.060,0.0115,0.012,0.1004,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000079"
0.064,0.0287,0.012,0.0431,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000080"
0.062,0.0178,0.012,0.0672,2600,None,yes,"Shvidchenko, A. B., Pender, G., & Hoey, T. B. (2001). Critical shear stress for in- cipient motion of sand/gravel streambeds. Water Resources Research, 37(8), 2273–2283. doi: 10.1029/2000WR000081"
0.028,0.00541,0.0026,0.0217,2610,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03190 "
0.045,0.0029,0.002,0.0087,1280,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03191"
0.044,0.00234,0.002,0.0105,1280,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03192"
0.045,0.00202,0.002,0.0125,1280,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03193"
0.297,0.01,0.000305,0.0152,2690,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03194"
0.262,0.00886,0.000375,0.0187,2690,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03195"
0.064,0.00214,0.00062,0.031,2670,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03196"
0.044,0.0022,0.00092,0.0307,2670,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03197"
0.050,0.0099,0.00795,0.0663,2650,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03198"
0.050,0.00165,0.0025,0.125,2650,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03199"
0.038,0.01,0.0064,0.0545,2507,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03200"
0.047,0.025,0.0064,0.024,2507,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03201"
0.053,0.05,0.0064,0.013,2507,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03202"
0.042,0.01,0.012,0.0975,2656,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03203"
0.044,0.025,0.012,0.0365,2656,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03204"
0.052,0.05,0.012,0.0205,2656,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03205"
0.058,0.075,0.012,0.0145,2656,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03206"
0.067,0.1,0.012,0.012,2656,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03207"
0.083,0.125,0.012,0.015,2656,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03208"
0.043,0.02,0.0225,0.0915,2490,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03209"
0.051,0.05,0.0225,0.0355,2490,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03210"
0.057,0.075,0.0225,0.025,2490,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03211"
0.069,0.1,0.0225,0.0215,2490,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03212"
0.079,0.15,0.0225,0.0153,2490,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03213"
0.098,0.2,0.0225,0.013,2490,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03214"
0.036,0.005,0.0115,0.137,2650,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03215"
0.043,0.0075,0.0115,0.11,2650,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03216"
0.048,0.01,0.0115,0.092,2650,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03217"
0.053,0.01,0.0222,0.183,2570,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03218"
0.071,0.03,0.0222,0.083,2570,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03219"
0.082,0.05,0.0222,0.057,2570,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03220"
0.088,0.07,0.0222,0.044,2570,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03221"
0.088,0.09,0.0222,0.034,2570,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03222"
0.049,0.03,0.0443,0.127,2750,Reference,yes,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03223"
0.054,0.05,0.0443,0.083,2750,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03224"
0.068,0.07,0.0443,0.075,2750,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03225"
0.065,0.09,0.0443,0.056,2750,Reference,no,"Buffington, J. M., & Montgomery, D. R. (1997). A systematic analysis of eight decades of incipient motion studies, with special reference to gravel- bedded rivers. Water Resources Research, 33(8), 1993–2029. doi: 10.1029/ 96WR03226"
